filename,x,y,width,height
exc_001.png,170,172,25,31
exc_002.png,177,171,32,21
exc_003.png,147,204,19,27
exc_004.png,178,161,38,19
exc_005.png,184,144,34,21
exc_006.png,178,133,41,25
exc_007.png,181,122,31,26
exc_008.png,193,86,23,39
exc_009.png,170,112,37,34
exc_010.png,165,111,38,27
exc_011.png,166,100,34,25
exc_012.png,157,88,46,30
exc_013.png,172,75,31,32
exc_014.png,157,81,30,29
exc_015.png,155,73,40,27
exc_016.png,170,63,27,21
exc_017.png,178,52,20,29
exc_018.png,160,57,27,30
exc_019.png,160,45,23,32
exc_020.png,170,35,18,22
exc_021.png,161,36,21,21
exc_022.png,147,19,29,23
exc_023.png,146,31,23,31
exc_024.png,122,18,31,12
exc_025.png,127,22,28,22
exc_026.png,121,27,26,27
exc_027.png,135,34,23,23
exc_028.png,142,47,19,30
exc_029.png,120,41,26,24
exc_030.png,129,49,23,23
exc_031.png,151,52,17,24
exc_032.png,145,67,29,17
exc_033.png,148,74,23,19
exc_034.png,119,49,35,40
exc_035.png,129,72,27,23
exc_036.png,120,79,25,25
exc_037.png,133,79,30,23
exc_038.png,137,87,26,21
exc_039.png,193,120,27,26
exc_040.png,120,91,33,22
exc_041.png,138,97,33,19
exc_042.png,130,102,35,18
exc_043.png,188,154,31,20
exc_044.png,192,173,21,26
exc_045.png,178,190,26,26
exc_046.png,170,195,17,27
exc_047.png,157,183,26,34
exc_048.png,156,203,19,24
exc_049.png,142,185,21,30
exc_050.png,150,171,35,24
exc_051.png,163,157,25,26
exc_052.png,131,211,26,19
exc_053.png,112,213,26,17
exc_054.png,96,205,20,22
exc_055.png,79,194,26,31
exc_056.png,75,212,30,16
exc_057.png,58,207,25,17
exc_058.png,46,200,22,17
exc_059.png,33,187,27,21
exc_060.png,24,168,23,26
exc_061.png,18,151,24,39
exc_062.png,18,136,18,22
exc_063.png,22,114,15,28
exc_064.png,28,89,20,33
exc_065.png,37,67,16,27
exc_066.png,48,53,21,27
exc_067.png,55,31,25,26
exc_068.png,72,21,24,24
exc_069.png,93,19,30,25
exc_070.png,63,38,41,25
exc_071.png,56,53,24,34
exc_072.png,95,56,25,24
exc_073.png,145,102,74,95
exc_074.png,165,133,34,32
exc_075.png,117,123,29,35
exc_076.png,123,160,29,30
exc_077.png,121,192,34,33
exc_078.png,74,136,45,31
exc_079.png,61,186,26,29
exc_080.png,30,166,36,23
exc_081.png,27,116,26,24
exc_082.png,61,100,30,23
exc_083.png,93,83,30,26
exc_084.png,41,73,31,23
exc_085.png,70,51,26,24
exc_086.png,93,31,31,26
exc_087.png,39,51,73,90
exc_088.png,76,97,34,28
exc_089.png,122,101,27,24
exc_090.png,93,120,25,35
exc_091.png,60,140,29,23
exc_092.png,23,142,37,30
exc_093.png,34,177,44,23
exc_094.png,76,177,25,35
exc_095.png,115,172,22,25
exc_096.png,127,121,24,34
exc_097.png,138,177,25,27
exc_098.png,158,145,34,22
exc_099.png,148,114,28,26
exc_100.png,43,79,33,26
exc_101.png,92,66,18,37
exc_102.png,86,42,26,35
exc_103.png,31,127,34,21
exc_104.png,57,119,30,24
exc_105.png,41,151,34,26
exc_106.png,70,159,25,39
exc_107.png,115,187,32,34
exc_108.png,95,96,27,41
exc_109.png,120,111,38,20
exc_110.png,138,155,35,22
exc_111.png,144,126,39,22
exc_112.png,63,77,30,26
exc_113.png,84,49,35,32
exc_114.png,89,186,31,29
exc_115.png,87,156,32,24
exc_116.png,121,142,37,26
exc_117.png,134,154,56,32
exc_118.png,124,188,27,25
exc_119.png,39,150,41,27
exc_120.png,89,106,30,38
exc_121.png,121,110,37,22
exc_122.png,152,127,32,25
exc_123.png,63,76,32,35
exc_124.png,76,51,34,32
exc_125.png,81,69,22,23
exc_126.png,87,97,32,20
exc_127.png,52,135,40,23
exc_128.png,58,169,35,28
exc_129.png,88,172,31,26
exc_130.png,111,187,22,34
exc_131.png,140,145,31,35
exc_132.png,121,114,41,21
exc_133.png,29,134,33,24
exc_134.png,63,150,33,22
exc_135.png,64,128,35,21
exc_136.png,46,97,32,21
exc_137.png,73,79,29,23
exc_138.png,33,172,24,17
exc_139.png,73,172,25,29
exc_140.png,114,150,29,26
exc_141.png,130,122,37,19
exc_142.png,145,138,31,23
exc_143.png,194,141,23,13
exc_144.png,126,175,27,26
exc_145.png,184,182,21,24
exc_146.png,47,67,21,19
exc_147.png,136,55,22,31
exc_148.png,179,95,25,21
exc_149.png,102,39,23,43
exc_150.png,81,29,32,19
exc_151.png,53,18,96,155
exc_152.png,162,28,19,22
exc_153.png,130,44,28,21
exc_154.png,125,70,15,23
exc_155.png,151,57,29,45
exc_156.png,89,40,22,17
exc_157.png,56,25,31,31
exc_158.png,58,73,19,25
exc_159.png,35,69,18,38
exc_160.png,80,86,37,23
exc_161.png,72,112,18,30
exc_162.png,130,99,25,16
exc_163.png,180,76,25,21
exc_164.png,167,104,34,25
exc_165.png,135,126,31,20
exc_166.png,188,129,28,19
exc_167.png,87,129,20,18
exc_168.png,47,109,32,17
exc_169.png,22,117,23,21
exc_170.png,31,130,26,13
exc_171.png,24,153,26,20
exc_172.png,43,158,18,15
